C_SU_NAMES
C_SU_ID,cdp,numa,xvuma,tnmo,dpth,vnmo,tnmo,dpth,vnmo
Q,136,3136.000,6136.000,0.000,15136.000,10136.000,0.004,25015.000,20015.000,0.008,35002.000,30002.000,0.012,45000.000,40000.000
Q,172,3172.000,6172.000,0.000,15172.000,10172.000,0.004,25051.000,20051.000,0.008,35002.000,30002.000
Q,182,3182.000,6182.000,0.000,15182.000,10182.000,0.004,25061.000,20061.000,0.008,35002.000,30002.000,0.012,45000.000,40000.000
Q,212,3200.000,6200.000,0.000,15000.000,10000.000,0.004,25000.000,20000.000
Q,232,3232.000,6232.000,0.000,15232.000,10232.000,0.004,25111.000,20111.000,,,
Q,257,3257.000,6257.000,0.000,15257.000,10257.000,0.004,25015.000,20015.000,0.008,35003.000,30003.000,0.012,45000.000,40000.000
Q,293,3293.000,6293.000,0.000,15293.000,10293.000,0.004,25051.000,20051.000,0.008,35003.000,30003.000,0.012,45000.000,40000.000
Q,333,3333.000,6333.000,0.000,15333.000,10333.000,0.004,25091.000,20091.000,0.008,35003.000,30003.000,0.012,45000.000,40000.000
Q,353,3353.000,6353.000,0.000,15353.000,10353.000,0.004,25111.000,20111.000,0.008,35003.000,30003.000,0.012,45000.000,40000.000
Q,656,3656.000,6656.000,0.000,15656.000,10656.000,0.004,25051.000,20051.000,0.008,35006.000,30006.000,0.012,45000.000,40000.000
Q,666,3666.000,6666.000,0.000,15666.000,10666.000,0.004,25061.000,20061.000,0.008,35006.000,30006.000,0.012,45000.000,40000.000,,,,,,
Q,696,3696.000,6696.000,0.000,15696.000,10696.000,0.004,25091.000,20091.000,0.008,35006.000,30006.000,0.012,45000.000,40000.000
Q,716,3716.000,6716.000,0.000,15716.000,10716.000,0.004,25111.000,20111.000,0.008,35006.000,30006.000,0.012,45000.000,40000.000
